victim_race,victim_age,victim_sex,city,disposition,year,month,arrest_was_not_made
Black,61,Female,Chicago,Closed by arrest,2010,1,0
Hispanic,27,Male,Chicago,Open/No arrest,2010,1,1
Black,49,Male,Chicago,Open/No arrest,2010,1,1
Black,21,Male,Chicago,Closed by arrest,2010,1,0
Hispanic,17,Male,Chicago,Closed by arrest,2010,1,0
Hispanic,20,Male,Chicago,Open/No arrest,2010,1,1
Black,48,Male,Chicago,Open/No arrest,2010,1,1
Black,30,Male,Chicago,Closed by arrest,2010,1,0
Black,28,Female,Chicago,Closed by arrest,2010,1,0
Black,52,Female,Chicago,Closed without arrest,2010,1,1
Black,20,Male,Chicago,Open/No arrest,2010,1,1
White,49,Male,Chicago,Closed by arrest,2010,1,0
Black,23,Male,Chicago,Closed by arrest,2010,1,0
Black,31,Male,Chicago,Open/No arrest,2010,1,1
Hispanic,16,Male,Chicago,Closed by arrest,2010,1,0
Hispanic,20,Male,Chicago,Open/No arrest,2010,1,1
Black,18,Male,Chicago,Closed without arrest,2010,1,1
Black,41,Male,Chicago,Open/No arrest,2010,1,1
Black,21,Male,Chicago,Closed by arrest,2010,1,0
Black,17,Male,Chicago,Open/No arrest,2010,1,1
Hispanic,30,Female,Chicago,Closed by arrest,2010,1,0
Black,24,Male,Chicago,Closed by arrest,2010,1,0
Black,17,Male,Chicago,Open/No arrest,2010,2,1
Black,44,Female,Chicago,Open/No arrest,2010,2,1
Black,18,Male,Chicago,Closed by arrest,2010,2,0
Black,28,Male,Chicago,Open/No arrest,2010,2,1
Black,23,Male,Chicago,Closed by arrest,2010,2,0
Black,52,Male,Chicago,Closed by arrest,2010,2,0
Black,29,Male,Chicago,Open/No arrest,2010,2,1
Black,33,Male,Chicago,Closed by arrest,2010,2,0
Hispanic,25,Male,Chicago,Open/No arrest,2010,2,1
Black,24,Male,Chicago,Open/No arrest,2010,2,1
Hispanic,29,Male,Chicago,Closed by arrest,2010,2,0
Black,20,Male,Chicago,Closed by arrest,2010,2,0
Black,25,Male,Chicago,Open/No arrest,2010,2,1
Black,45,Male,Chicago,Closed by arrest,2010,2,0
Hispanic,1,Female,Chicago,Closed by arrest,2010,2,0
Hispanic,2,Male,Chicago,Closed by arrest,2010,2,0
Black,32,Male,Chicago,Open/No arrest,2010,2,1
Hispanic,16,Male,Chicago,Closed by arrest,2010,2,0
Black,25,Male,Chicago,Open/No arrest,2010,2,1
Black,15,Male,Chicago,Closed by arrest,2010,2,0
Black,55,Male,Chicago,Closed by arrest,2010,2,0
Hispanic,19,Male,Chicago,Closed by arrest,2010,2,0
